Staff,starttime,endtime,work_length,date,tod,work_length_minutes
Staff 26,2022-10-21 09:47:18,2022-10-21 17:17:46,0 days 07:30:28,2022-10-21,morning,450.46666666666664
Staff 26,2022-10-22 10:15:11,2022-10-22 17:07:36,0 days 06:52:25,2022-10-22,morning,412.4166666666667
Staff 26,2022-10-23 09:35:15,2022-10-23 17:49:22,0 days 08:14:07,2022-10-23,morning,494.1166666666667
Staff 26,2022-10-24 09:47:49,2022-10-24 17:36:06,0 days 07:48:17,2022-10-24,morning,468.28333333333336
Staff 26,2022-10-25 10:01:20,2022-10-25 17:46:12,0 days 07:44:52,2022-10-25,morning,464.8666666666667
Staff 26,2022-10-26 09:34:44,2022-10-26 17:33:23,0 days 07:58:39,2022-10-26,morning,478.65
Staff 26,2022-10-27 10:04:16,2022-10-27 17:59:40,0 days 07:55:24,2022-10-27,morning,475.4
Staff 26,2022-10-28 09:07:58,2022-10-28 17:15:14,0 days 08:07:16,2022-10-28,morning,487.26666666666665
Staff 26,2022-10-31 09:51:38,2022-10-31 17:45:27,0 days 07:53:49,2022-10-31,morning,473.81666666666666
Staff 27,2022-10-10 09:46:55,2022-10-10 16:42:19,0 days 06:55:24,2022-10-10,morning,415.4
Staff 27,2022-10-17 09:57:06,2022-10-17 17:09:48,0 days 07:12:42,2022-10-17,morning,432.7
Staff 27,2022-10-18 09:59:53,2022-10-18 16:55:19,0 days 06:55:26,2022-10-18,morning,415.43333333333334
Staff 27,2022-10-19 09:20:37,2022-10-19 17:00:14,0 days 07:39:37,2022-10-19,morning,459.6166666666667
Staff 27,2022-10-20 09:59:47,2022-10-20 17:06:53,0 days 07:07:06,2022-10-20,morning,427.1
Staff 27,2022-10-21 09:54:23,2022-10-21 16:55:36,0 days 07:01:13,2022-10-21,morning,421.21666666666664
Staff 27,2022-10-24 09:59:59,2022-10-24 17:20:28,0 days 07:20:29,2022-10-24,morning,440.48333333333335
Staff 27,2022-10-25 10:02:59,2022-10-25 17:46:37,0 days 07:43:38,2022-10-25,morning,463.6333333333333
Staff 27,2022-10-26 10:11:35,2022-10-26 17:19:55,0 days 07:08:20,2022-10-26,morning,428.3333333333333
Staff 27,2022-10-27 09:57:13,2022-10-27 17:17:55,0 days 07:20:42,2022-10-27,morning,440.7
Staff 27,2022-10-28 10:11:59,2022-10-28 17:25:04,0 days 07:13:05,2022-10-28,morning,433.0833333333333
Staff 27,2022-10-29 09:39:38,2022-10-29 17:55:28,0 days 08:15:50,2022-10-29,morning,495.8333333333333
Staff 27,2022-10-30 09:03:19,2022-10-30 17:44:09,0 days 08:40:50,2022-10-30,morning,520.8333333333334
Staff 27,2022-10-31 09:22:15,2022-10-31 17:34:52,0 days 08:12:37,2022-10-31,morning,492.6166666666667
Staff 28,2022-10-03 10:05:14,2022-10-03 17:26:54,0 days 07:21:40,2022-10-03,morning,441.6666666666667
Staff 28,2022-10-04 10:01:04,2022-10-04 17:39:21,0 days 07:38:17,2022-10-04,morning,458.28333333333336
Staff 28,2022-10-05 09:57:32,2022-10-05 17:35:59,0 days 07:38:27,2022-10-05,morning,458.45
Staff 28,2022-10-06 10:06:09,2022-10-06 15:51:16,0 days 05:45:07,2022-10-06,morning,345.1166666666667
Staff 28,2022-10-07 09:47:03,2022-10-07 17:54:59,0 days 08:07:56,2022-10-07,morning,487.93333333333334
Staff 28,2022-10-10 10:02:40,2022-10-10 17:09:15,0 days 07:06:35,2022-10-10,morning,426.5833333333333
Staff 28,2022-10-11 10:10:27,2022-10-11 17:32:11,0 days 07:21:44,2022-10-11,morning,441.73333333333335
Staff 28,2022-10-12 10:04:21,2022-10-12 17:23:29,0 days 07:19:08,2022-10-12,morning,439.1333333333333
