Technician,Location,from,to
Staff 10,"19.668,13.918","9/27/2022, 5:11:13 PM","9/27/2022, 5:11:25 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:11:25 PM","9/27/2022, 5:11:27 PM"
Staff 10,"19.569,14.146","9/27/2022, 5:11:27 PM","9/27/2022, 5:11:49 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:11:49 PM","9/27/2022, 5:11:51 PM"
Staff 10,"19.609,14.105","9/27/2022, 5:11:51 PM","9/27/2022, 5:12:07 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:12:07 PM","9/27/2022, 5:12:09 PM"
Staff 10,"19.651,14.131","9/27/2022, 5:12:09 PM","9/27/2022, 5:12:52 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:12:52 PM","9/27/2022, 5:12:53 PM"
Staff 10,"19.568,14","9/27/2022, 5:12:53 PM","9/27/2022, 5:13:09 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:13:09 PM","9/27/2022, 5:13:12 PM"
Staff 10,"19.558,14.049","9/27/2022, 5:13:12 PM","9/27/2022, 5:13:14 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:13:14 PM","9/27/2022, 5:13:15 PM"
Staff 10,"19.536,14.075","9/27/2022, 5:13:15 PM","9/27/2022, 5:13:25 PM"
Staff 10,"18.832,14.852","9/27/2022, 5:13:25 PM","9/27/2022, 5:13:27 PM"
Staff 10,"19.535,13.95","9/27/2022, 5:13:27 PM","9/27/2022, 6:27:50 PM"
Staff 10,"20.232,14.852","9/27/2022, 6:27:50 PM","9/27/2022, 6:27:52 PM"
Staff 10,"19.837,13.99","9/27/2022, 6:27:52 PM","9/27/2022, 6:27:58 PM"
Staff 10,"20.232,14.852","9/27/2022, 6:27:58 PM","9/27/2022, 6:28:12 PM"
Staff 10,"19.784,13.916","9/27/2022, 6:28:12 PM","9/27/2022, 6:32:11 PM"
Staff 10,"20.652,14.468","9/27/2022, 6:32:11 PM","9/27/2022, 7:41:54 PM"
Staff 10,"20.232,14.852","9/27/2022, 7:41:54 PM","9/27/2022, 7:49:35 PM"
Staff 10,"21.068,14.344","9/27/2022, 7:49:35 PM","9/27/2022, 7:49:45 PM"
Staff 10,"19.983,14.121","9/27/2022, 7:49:45 PM","9/27/2022, 7:51:10 PM"
Staff 10,"21.002,14.401","9/27/2022, 7:51:10 PM","9/27/2022, 8:16:12 PM"
Staff 10,"20.012,14.157","9/27/2022, 8:16:12 PM","9/27/2022, 8:23:06 PM"
Staff 10,"21.063,14.494","9/27/2022, 8:23:06 PM","9/27/2022, 8:23:07 PM"
